subject;subject_ID;session;outcome1;outcome2;outcome3;outcome4;prob1;prob2;choice;RT;Onsettime;gender;session_order
1;S2;0;220;55;125;100;0.01;0.99;2;3972;44906;0;3
1;S2;0;350;50;260;180;0.6;0.4;1;3206;49410;0;3
1;S2;0;-125;-100;-220;-55;0.1;0.9;2;6642;53164;0;3
1;S2;0;335;10;230;110;0.01;0.99;2;14383;60338;0;3
1;S2;0;-220;-55;-125;-100;0.85;0.15;2;13142;75252;0;3
1;S2;0;350;50;260;180;0.3;0.7;2;3392;88916;0;3
1;S2;0;125;100;220;55;0.05;0.95;1;4769;92836;0;3
1;S2;0;335;10;230;110;0.3;0.7;2;1719;98125;0;3
1;S2;0;-335;-10;-230;-110;0.7;0.3;2;2856;100377;0;3
1;S2;0;335;10;230;110;0.15;0.85;2;3273;103780;0;3
1;S2;0;-260;-180;-350;-50;0.7;0.3;1;2991;107601;0;3
1;S2;0;-230;-110;-335;-10;0.6;0.4;1;3198;111138;0;3
1;S2;0;-260;-180;-350;-50;0.85;0.15;1;4798;114875;0;3
1;S2;0;-335;-10;-230;-110;0.01;0.99;1;2529;120197;0;3
1;S2;0;-125;-100;-220;-55;0.9;0.1;1;2732;123266;0;3
1;S2;0;-220;-55;-125;-100;0.5;0.5;2;2942;126536;0;3
1;S2;0;220;55;125;100;1;0;1;2962;130023;0;3
1;S2;0;125;100;220;55;0;1;1;2151;133510;0;3
1;S2;0;-335;-10;-230;-110;0.4;0.6;1;3064;136196;0;3
1;S2;0;-230;-110;-335;-10;0.1;0.9;2;3755;139799;0;3
1;S2;0;-230;-110;-335;-10;1;0;1;2384;144087;0;3
1;S2;0;230;110;335;10;0.6;0.4;2;3033;147006;0;3
1;S2;0;220;55;125;100;0.2;0.8;2;2245;150560;0;3
1;S2;0;125;100;220;55;0.15;0.85;1;6423;153346;0;3
1;S2;0;230;110;335;10;0.1;0.9;1;3599;160303;0;3
1;S2;0;-260;-180;-350;-50;0;1;2;2246;164423;0;3
1;S2;0;-230;-110;-335;-10;0.9;0.1;1;5400;167193;0;3
1;S2;0;335;10;230;110;0.5;0.5;1;3363;173132;0;3
1;S2;0;-125;-100;-220;-55;0.05;0.95;2;2606;177019;0;3
1;S2;0;-335;-10;-230;-110;0.95;0.05;2;2889;180156;0;3
1;S2;0;125;100;220;55;0.9;0.1;2;3074;183576;0;3
1;S2;0;-335;-10;-230;-110;0.2;0.8;1;2654;187196;0;3
1;S2;0;260;180;350;50;1;0;2;2587;190382;0;3
1;S2;0;-125;-100;-220;-55;0.01;0.99;2;5185;193502;0;3
1;S2;0;-350;-50;-260;-180;0.2;0.8;1;2298;199224;0;3
1;S2;0;230;110;335;10;0.8;0.2;2;2730;202044;0;3
1;S2;0;230;110;335;10;0.2;0.8;1;1858;205314;0;3
1;S2;0;-260;-180;-350;-50;0.8;0.2;1;4515;207716;0;3
1;S2;0;-350;-50;-260;-180;0.3;0.7;1;10650;212754;0;3
1;S2;0;-335;-10;-230;-110;0.3;0.7;1;1836;223949;0;3
1;S2;0;125;100;220;55;0.8;0.2;2;2034;226318;0;3
1;S2;0;350;50;260;180;0.1;0.9;2;2263;228887;0;3
1;S2;0;335;10;230;110;0.95;0.05;1;1460;231690;0;3
1;S2;0;220;55;125;100;0.3;0.7;2;3003;233675;0;3
1;S2;0;-125;-100;-220;-55;0.8;0.2;1;12034;237212;0;3
1;S2;0;125;100;220;55;0.5;0.5;2;1953;249774;0;3
1;S2;0;220;55;125;100;0.95;0.05;1;3094;252260;0;3
1;S2;0;220;55;125;100;0.1;0.9;2;4359;255897;0;3
1;S2;0;220;55;125;100;0.85;0.15;1;2948;260802;0;3
1;S2;0;-125;-100;-220;-55;0.7;0.3;1;5871;264272;0;3
1;S2;0;260;180;350;50;0.15;0.85;1;5653;270678;0;3
1;S2;0;350;50;260;180;0.8;0.2;1;2274;276867;0;3
1;S2;0;125;100;220;55;0.7;0.3;2;7041;279687;0;3
1;S2;0;-220;-55;-125;-100;0.15;0.85;1;1570;287278;0;3
1;S2;0;260;180;350;50;0.4;0.6;2;3563;289380;0;3
1;S2;0;-260;-180;-350;-50;0.15;0.85;2;3841;293467;0;3
1;S2;0;-125;-100;-220;-55;0;1;2;3021;297838;0;3
1;S2;0;-125;-100;-220;-55;0.95;0.05;1;3809;301392;0;3
1;S2;0;-220;-55;-125;-100;1;0;2;2929;305746;0;3
1;S2;0;230;110;335;10;0.4;0.6;2;6320;309199;0;3
1;S2;0;-335;-10;-230;-110;0.85;0.15;2;6959;316056;0;3
1;S2;0;350;50;260;180;0.2;0.8;2;6479;323547;0;3
1;S2;0;220;55;125;100;0.4;0.6;2;5342;330554;0;3
1;S2;0;-260;-180;-350;-50;0.01;0.99;2;2243;336426;0;3
1;S2;0;260;180;350;50;0.85;0.15;2;4486;339195;0;3
1;S2;0;260;180;350;50;0;1;1;2148;344217;0;3
1;S2;0;-260;-180;-350;-50;0.05;0.95;2;2158;346903;0;3
1;S2;0;-220;-55;-125;-100;0.6;0.4;2;6034;349589;0;3
1;S2;0;-230;-110;-335;-10;0;1;2;2122;356162;0;3
1;S2;0;-335;-10;-230;-110;0.15;0.85;1;2189;358831;0;3
1;S2;0;-260;-180;-350;-50;1;0;1;2444;361567;0;3
1;S2;0;335;10;230;110;0.85;0.15;1;2815;364554;0;3
1;S2;0;-260;-180;-350;-50;0.1;0.9;2;2002;367907;0;3
1;S2;0;350;50;260;180;0.95;0.05;1;1574;370443;0;3
1;S2;0;-230;-110;-335;-10;0.5;0.5;2;4635;372562;0;3
1;S2;0;-350;-50;-260;-180;0.5;0.5;1;5088;377717;0;3
1;S2;0;-350;-50;-260;-180;0.9;0.1;2;4127;383339;0;3
1;S2;0;335;10;230;110;0.9;0.1;1;4148;388010;0;3
1;S2;0;-350;-50;-260;-180;0.95;0.05;2;2348;392698;0;3
1;S2;0;350;50;260;180;0.05;0.95;2;1978;395568;0;3
1;S2;0;335;10;230;110;0.7;0.3;1;2078;398087;0;3
1;S2;0;-335;-10;-230;-110;0.05;0.95;1;3177;400689;0;3
1;S2;0;260;180;350;50;0.01;0.99;1;3200;404410;0;3
1;S2;0;350;50;260;180;0.9;0.1;1;1479;408130;0;3
1;S2;0;230;110;335;10;0.05;0.95;1;3698;410132;0;3
1;S2;0;-125;-100;-220;-55;0.3;0.7;2;3064;414353;0;3
1;S2;0;-335;-10;-230;-110;0.8;0.2;2;3455;417956;0;3
1;S2;0;230;110;335;10;0;1;1;3395;421943;0;3
1;S2;0;-220;-55;-125;-100;0.4;0.6;1;3141;425881;0;3
1;S2;0;220;55;125;100;0.6;0.4;1;2195;429551;0;3
1;S2;0;-260;-180;-350;-50;0.6;0.4;2;7785;432270;0;3
1;S2;0;-125;-100;-220;-55;0.2;0.8;2;9798;440595;0;3
1;S2;0;350;50;260;180;0.7;0.3;1;3870;450922;0;3
1;S2;0;350;50;260;180;0.5;0.5;1;2534;455326;0;3
1;S2;0;-260;-180;-350;-50;0.4;0.6;2;9877;458379;0;3
1;S2;0;335;10;230;110;1;0;1;1942;468790;0;3
1;S2;1;220;55;125;100;0.01;0.99;2;3150;55015;0;2
1;S2;1;335;10;230;110;1;0;1;1954;58702;0;2
1;S2;1;-125;-100;-220;-55;0.01;0.99;2;2835;61187;0;2
1;S2;1;350;50;260;180;0.5;0.5;2;7227;64557;0;2
1;S2;1;-335;-10;-230;-110;0.85;0.15;2;2338;72315;0;2
1;S2;1;-260;-180;-350;-50;0.7;0.3;1;4229;75201;0;2
1;S2;1;125;100;220;55;0.8;0.2;2;4195;79973;0;2
1;S2;1;-260;-180;-350;-50;0.01;0.99;2;2821;84711;0;2
1;S2;1;-260;-180;-350;-50;0.4;0.6;2;5899;88064;0;2
1;S2;1;-230;-110;-335;-10;0;1;2;3015;94487;0;2
1;S2;1;230;110;335;10;0.8;0.2;2;3593;98024;0;2
1;S2;1;-230;-110;-335;-10;0.1;0.9;2;2853;102145;0;2
1;S2;1;-220;-55;-125;-100;1;0;2;3550;105532;0;2
1;S2;1;260;180;350;50;0;1;1;1816;109602;0;2
1;S2;1;-260;-180;-350;-50;0.05;0.95;2;3537;111955;0;2
1;S2;1;350;50;260;180;0.3;0.7;2;5440;116025;0;2
1;S2;1;230;110;335;10;0.2;0.8;1;2802;121998;0;2
1;S2;1;-125;-100;-220;-55;0.8;0.2;1;2610;125335;0;2
1;S2;1;-230;-110;-335;-10;0.9;0.1;1;3995;128471;0;2
1;S2;1;-125;-100;-220;-55;0.1;0.9;2;1807;132992;0;2
1;S2;1;-125;-100;-220;-55;0.05;0.95;2;3149;135345;0;2
1;S2;1;220;55;125;100;0.3;0.7;2;4700;139032;0;2
1;S2;1;220;55;125;100;1;0;1;1536;144270;0;2
1;S2;1;-220;-55;-125;-100;0.85;0.15;2;3581;146356;0;2
1;S2;1;230;110;335;10;0;1;1;1884;150476;0;2
1;S2;1;335;10;230;110;0.9;0.1;1;2309;152895;0;2
1;S2;1;350;50;260;180;0.8;0.2;1;2566;155732;0;2
1;S2;1;-335;-10;-230;-110;0.05;0.95;1;2306;158818;0;2
1;S2;1;335;10;230;110;0.7;0.3;1;1990;161654;0;2
1;S2;1;350;50;260;180;0.6;0.4;1;2264;164190;0;2
1;S2;1;-350;-50;-260;-180;0.9;0.1;2;1853;166976;0;2
1;S2;1;260;180;350;50;0.01;0.99;1;3703;169378;0;2
1;S2;1;335;10;230;110;0.3;0.7;2;2413;173616;0;2
1;S2;1;230;110;335;10;0.6;0.4;2;9592;176569;0;2
1;S2;1;220;55;125;100;0.95;0.05;1;1553;186696;0;2
1;S2;1;350;50;260;180;0.95;0.05;1;3199;188781;0;2
1;S2;1;-260;-180;-350;-50;0.15;0.85;2;1822;192501;0;2
1;S2;1;125;100;220;55;0.5;0.5;2;2415;194854;0;2
1;S2;1;335;10;230;110;0.5;0.5;1;1721;197807;0;2
1;S2;1;-230;-110;-335;-10;0.5;0.5;2;4806;200059;0;2
1;S2;1;-260;-180;-350;-50;1;0;1;3583;205398;0;2
1;S2;1;220;55;125;100;0.2;0.8;2;4880;209502;0;2
1;S2;1;125;100;220;55;0.7;0.3;2;1785;214924;0;2
1;S2;1;-335;-10;-230;-110;0.4;0.6;1;3257;217243;0;2
1;S2;1;-220;-55;-125;-100;0.5;0.5;1;4968;221030;0;2
1;S2;1;260;180;350;50;0.4;0.6;1;3983;226535;0;2
1;S2;1;220;55;125;100;0.85;0.15;1;1368;231057;0;2
1;S2;1;-125;-100;-220;-55;0.95;0.05;1;4153;232958;0;2
1;S2;1;-230;-110;-335;-10;0.6;0.4;1;5240;237646;0;2
1;S2;1;-125;-100;-220;-55;0;1;2;2046;243436;0;2
1;S2;1;125;100;220;55;0.15;0.85;1;2889;246021;0;2
1;S2;1;220;55;125;100;0.4;0.6;2;6237;249442;0;2
1;S2;1;220;55;125;100;0.6;0.4;1;1896;256215;0;2
1;S2;1;-125;-100;-220;-55;0.3;0.7;2;4116;258651;0;2
1;S2;1;-335;-10;-230;-110;0.95;0.05;2;4506;263289;0;2
1;S2;1;260;180;350;50;0.85;0.15;2;4172;268344;0;2
1;S2;1;335;10;230;110;0.01;0.99;2;1643;273065;0;2
1;S2;1;350;50;260;180;0.05;0.95;2;3797;275251;0;2
1;S2;1;-260;-180;-350;-50;0.6;0.4;1;5301;279588;0;2
1;S2;1;-335;-10;-230;-110;0.7;0.3;2;3148;285411;0;2
1;S2;1;-230;-110;-335;-10;1;0;1;3231;289098;0;2
1;S2;1;350;50;260;180;0.1;0.9;2;2536;292868;0;2
1;S2;1;-220;-55;-125;-100;0.15;0.85;1;5235;295938;0;2
1;S2;1;-335;-10;-230;-110;0.3;0.7;1;2013;301694;0;2
1;S2;1;-260;-180;-350;-50;0.8;0.2;1;3406;304246;0;2
1;S2;1;-350;-50;-260;-180;0.95;0.05;2;1720;308183;0;2
1;S2;1;335;10;230;110;0.15;0.85;2;1409;310436;0;2
1;S2;1;125;100;220;55;0.9;0.1;2;2961;312387;0;2
1;S2;1;230;110;335;10;0.1;0.9;1;1121;315891;0;2
1;S2;1;-260;-180;-350;-50;0.85;0.15;1;1803;317559;0;2
1;S2;1;260;180;350;50;0.15;0.85;1;1388;319895;0;2
1;S2;1;260;180;350;50;1;0;2;1783;321830;0;2
1;S2;1;350;50;260;180;0.7;0.3;1;2471;324149;0;2
1;S2;1;-335;-10;-230;-110;0.8;0.2;2;1835;327152;0;2
1;S2;1;-125;-100;-220;-55;0.9;0.1;1;1773;329521;0;2
1;S2;1;125;100;220;55;0.05;0.95;1;2956;331824;0;2
1;S2;1;230;110;335;10;0.4;0.6;2;6040;335310;0;2
1;S2;1;230;110;335;10;0.05;0.95;1;2296;341884;0;2
1;S2;1;-220;-55;-125;-100;0.6;0.4;2;6368;344720;0;2
1;S2;1;220;55;125;100;0.1;0.9;2;3422;351610;0;2
1;S2;1;-260;-180;-350;-50;0;1;2;1771;355580;0;2
1;S2;1;-335;-10;-230;-110;0.01;0.99;1;2510;357883;0;2
1;S2;1;125;100;220;55;0;1;1;2227;360919;0;2
1;S2;1;350;50;260;180;0.9;0.1;1;2494;363672;0;2
1;S2;1;-220;-55;-125;-100;0.4;0.6;1;4531;366708;0;2
1;S2;1;350;50;260;180;0.2;0.8;2;1761;371763;0;2
1;S2;1;-125;-100;-220;-55;0.2;0.8;2;2924;374066;0;2
1;S2;1;-335;-10;-230;-110;0.15;0.85;1;1915;377519;0;2
1;S2;1;335;10;230;110;0.85;0.15;1;2197;379971;0;2
1;S2;1;-260;-180;-350;-50;0.1;0.9;2;1730;382708;0;2
1;S2;1;-350;-50;-260;-180;0.5;0.5;1;3766;384976;0;2
1;S2;1;-335;-10;-230;-110;0.2;0.8;1;3145;389281;0;2
1;S2;1;-125;-100;-220;-55;0.7;0.3;1;2186;392968;0;2
1;S2;1;-350;-50;-260;-180;0.3;0.7;1;3378;395687;0;2
1;S2;1;335;10;230;110;0.95;0.05;1;1363;399608;0;2
1;S2;1;-350;-50;-260;-180;0.2;0.8;1;1655;401510;0;2
1;S2;2;-260;-180;-350;-50;0;1;2;8950;64786;0;1
1;S2;2;-335;-10;-230;-110;0.4;0.6;1;5815;74262;0;1
1;S2;2;220;55;125;100;0.01;0.99;2;8211;80601;0;1
1;S2;2;-260;-180;-350;-50;0.01;0.99;2;6649;89343;0;1
1;S2;2;-350;-50;-260;-180;0.95;0.05;2;9177;96533;0;1
1;S2;2;-335;-10;-230;-110;0.05;0.95;1;5862;106243;0;1
1;S2;2;125;100;220;55;0.7;0.3;2;4739;112649;0;1
1;S2;2;335;10;230;110;0.3;0.7;1;5803;117921;0;1
1;S2;2;-335;-10;-230;-110;0.8;0.2;2;4686;124261;0;1
1;S2;2;-125;-100;-220;-55;0.8;0.2;1;5607;129483;0;1
1;S2;2;-125;-100;-220;-55;0.2;0.8;2;8252;135639;0;1
1;S2;2;-260;-180;-350;-50;1;0;1;5188;144414;0;1
1;S2;2;260;180;350;50;0.85;0.15;2;5821;150136;0;1
1;S2;2;220;55;125;100;0.1;0.9;2;3336;156492;0;1
1;S2;2;335;10;230;110;0.7;0.3;1;5034;160363;0;1
1;S2;2;-125;-100;-220;-55;0.7;0.3;1;4361;165918;0;1
1;S2;2;220;55;125;100;0.6;0.4;1;7121;170823;0;1
1;S2;2;-260;-180;-350;-50;0.6;0.4;1;11304;178464;0;1
1;S2;2;-125;-100;-220;-55;0.9;0.1;1;5320;190292;0;1
1;S2;2;-260;-180;-350;-50;0.05;0.95;2;2974;196148;0;1
1;S2;2;-125;-100;-220;-55;0.3;0.7;2;6343;199652;0;1
1;S2;2;-335;-10;-230;-110;0.01;0.99;1;4338;206525;0;1
1;S2;2;-350;-50;-260;-180;0.9;0.1;2;4868;211396;0;1
1;S2;2;260;180;350;50;0.01;0.99;1;4207;216785;0;1
1;S2;2;-230;-110;-335;-10;0.6;0.4;1;6348;221540;0;1
1;S2;2;230;110;335;10;0.2;0.8;1;6952;228413;0;1
1;S2;2;-335;-10;-230;-110;0.7;0.3;2;7659;235887;0;1
1;S2;2;125;100;220;55;0.15;0.85;2;4156;244079;0;1
1;S2;2;-335;-10;-230;-110;0.95;0.05;2;6187;248767;0;1
1;S2;2;230;110;335;10;0.1;0.9;1;4014;255473;0;1
1;S2;2;350;50;260;180;0.95;0.05;1;5531;260028;0;1
1;S2;2;230;110;335;10;0;1;1;4553;266084;0;1
1;S2;2;230;110;335;10;0.8;0.2;2;4179;271172;0;1
1;S2;2;-260;-180;-350;-50;0.85;0.15;1;5680;275877;0;1
1;S2;2;-260;-180;-350;-50;0.4;0.6;2;5518;282099;0;1
1;S2;2;-125;-100;-220;-55;0.05;0.95;2;3247;288139;0;1
1;S2;2;-125;-100;-220;-55;0;1;2;3618;291909;0;1
1;S2;2;125;100;220;55;0.8;0.2;2;2634;296046;0;1
1;S2;2;125;100;220;55;0;1;1;2848;299199;0;1
1;S2;2;230;110;335;10;0.05;0.95;1;3187;302586;0;1
1;S2;2;-220;-55;-125;-100;0.5;0.5;1;12013;306306;0;1
1;S2;2;350;50;260;180;0.8;0.2;1;1757;318852;0;1
1;S2;2;-220;-55;-125;-100;0.15;0.85;1;2732;321154;0;1
1;S2;2;350;50;260;180;0.05;0.95;2;1891;324424;0;1
1;S2;2;350;50;260;180;0.6;0.4;1;2818;326860;0;1
1;S2;2;-125;-100;-220;-55;0.1;0.9;2;2339;330213;0;1
1;S2;2;350;50;260;180;0.3;0.7;2;2327;333083;0;1
1;S2;2;-335;-10;-230;-110;0.85;0.15;2;6449;335936;0;1
1;S2;2;260;180;350;50;0.4;0.6;1;12877;342909;0;1
1;S2;2;-230;-110;-335;-10;0.5;0.5;2;5704;356322;0;1
1;S2;2;-335;-10;-230;-110;0.15;0.85;1;3667;362545;0;1
1;S2;2;220;55;125;100;0.4;0.6;1;4311;366749;0;1
1;S2;2;-220;-55;-125;-100;0.6;0.4;2;6323;371604;0;1
1;S2;2;-350;-50;-260;-180;0.2;0.8;1;3660;378461;0;1
1;S2;2;230;110;335;10;0.4;0.6;2;4407;382648;0;1
1;S2;2;230;110;335;10;0.6;0.4;2;3911;387603;0;1
1;S2;2;335;10;230;110;0.95;0.05;1;8230;392057;0;1
1;S2;2;-230;-110;-335;-10;0.1;0.9;2;4043;400833;0;1
1;S2;2;350;50;260;180;0.9;0.1;1;3376;405421;0;1
1;S2;2;-125;-100;-220;-55;0.95;0.05;1;3731;409341;0;1
1;S2;2;-230;-110;-335;-10;1;0;1;5322;413612;0;1
1;S2;2;-260;-180;-350;-50;0.1;0.9;2;3303;419468;0;1
1;S2;2;260;180;350;50;0.15;0.85;1;3796;423305;0;1
1;S2;2;335;10;230;110;0.5;0.5;2;8279;427642;0;1
1;S2;2;335;10;230;110;1;0;1;1749;436451;0;1
1;S2;2;335;10;230;110;0.01;0.99;2;1781;438720;0;1
1;S2;2;-335;-10;-230;-110;0.2;0.8;1;4767;441022;0;1
1;S2;2;125;100;220;55;0.05;0.95;1;3216;446311;0;1
1;S2;2;125;100;220;55;0.9;0.1;2;6351;450048;0;1
1;S2;2;125;100;220;55;0.5;0.5;1;5105;456921;0;1
